Key,en,ru,reviewed
Hair Bang >>,Hair Bang >>,Челка >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Челка >> Схема,False
Hair Bang ><,Hair Bang ><,Челка для волос ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Челка >< Схема,False
Hair Bang <<,Hair Bang <<,Челка для волос <<,False
Hair Bang << Outline,Hair Bang << Outline,Челка << Схема,False
Hair Clip >>,Hair Clip >>,Заколка для волос >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Заколка для волос >> Схема,False
Hair Clip <<,Hair Clip <<,Заколка для волос <<,False
Hair Clip << Outline,Hair Clip << Outline,Заколка для волос << Схема,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Мелирование волос 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Мелирование волос 1 >> Контур,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Мелирование волос 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Мелирование волос 2 >> Контур,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Мелирование волос 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Мелирование волос 3 >> Контур,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Мелирование волос 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Мелирование волос 1 >< Схема,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Мелирование волос 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Мелирование волос 2 >< Схема,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Мелирование волос 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Мелирование волос 3 >< Схема,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Мелирование волос 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Мелирование волос 4 >< Схема,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Мелирование волос 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Мелирование волос 5 >< Схема,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Мелирование волос 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Мелирование волос 6 >< Схема,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Мелирование волос 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Мелирование волос 1 << Схема,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Мелирование волос 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Мелирование волос 2 << Схема,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Мелирование волос 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Мелирование волос 3 << Схема,False
Hairline Outline,Hairline Outline,Контур линии роста волос,False
Hair Shine,Hair Shine,Блеск Волос,False
Hair Shine Outline,Hair Shine Outline,Контур блеска волос,False
Halo,Halo,Гало,False
Halo Outline,Halo Outline,Гало Контур,False
Hat,Hat,Шляпа,False
Hat Outline,Hat Outline,Контур шляпы,False
Hat Secondary,Hat Secondary,Шляпа вторичная,False
Hat Secondary Outline,Hat Secondary Outline,Вторичный контур шляпы,False
Hammer,Hammer,Молоток,False
Ear Wing >>,Ear Wing >>,Ухо Крыло >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Ухо Крыло >> Схема,False
Ear Wing <<,Ear Wing <<,Ухо Крыло <<,False
Ear Wing << Outline,Ear Wing << Outline,Ухо-крыло << Контур,False
Heart,Heart,Сердце,False
Horn >>,Horn >>,Рог >>,False
Horn >> Outline,Horn >> Outline,Рог >> Схема,False
Horn <<,Horn <<,Рог <<,False
Horn << Outline,Horn << Outline,Рог << Схема,False
Horn ><,Horn ><,Рог ><,False
Horn >< Outline,Horn >< Outline,Рог >< Схема,False
Jail Grill,Jail Grill,Тюремный гриль,False
Keyboard,Keyboard,Клавиатура,False
Kitchen Knife,Kitchen Knife,Кухонный нож,False
Laptop,Laptop,Ноутбук,False
Laptop Light,Laptop Light,Свет для ноутбука,False
Leg >>,Leg >>,Нога >>,False
Leg <<,Leg <<,Нога <<,False
Lightstick Handle,Lightstick Handle,Ручка светового стика,False
Light Stick >>,Light Stick >>,Световая палочка >>,False
Light Stick <<,Light Stick <<,Световая палка <<,False
Mecha,Mecha,Меха,False
Mecha >>,Mecha >>,Меха >>,False
Mecha >> Outline,Mecha >> Outline,Меха >> Схема,False
Mecha Outline,Mecha Outline,Механический контур,False
Mecha <<,Mecha <<,Меха <<,False
Mecha << Outline,Mecha << Outline,Меха << Схема,False
Mouse,Mouse,Мышь,False
Mouth/Tongue,Mouth/Tongue,Рот/Язык,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Тень рта/языка,False
Notepad,Notepad,Блокнот,False
Outfit Collar,Outfit Collar,Воротник наряда,False
Outfit Collar Outline,Outfit Collar Outline,Схема воротника наряда,False
Outfit Inner,Outfit Inner,Внутренний наряд,False
Outfit Inner Outline,Outfit Inner Outline,Внутренний контур наряда,False
Outfit Neckwear A,Outfit Neckwear A,Наряд Галстук А,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,"Наряд, галстук, контур",False
Outfit Neckwear B,Outfit Neckwear B,Наряд Галстук Б,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,"Наряд, галстук, B, контур",False
Outfit Neckwear C,Outfit Neckwear C,Наряд Галстук C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Наряд Галстук C Контур,False
Outfit Outer,Outfit Outer,Наряд Внешний,False
Outfit Outer Outline,Outfit Outer Outline,Внешний контур наряда,False
Pencil,Pencil,Карандаш,False
Phone,Phone,Телефон,False
Phone Light,Phone Light,Телефон Свет,False
Hair Pigtail >>,Hair Pigtail >>,Косичка для волос >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Косичка для волос >> Схема,False
Hair Pigtail <<,Hair Pigtail <<,Косичка для волос <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Косичка для волос << Схема,False
Rose,Rose,Роза,False
Round Sign,Round Sign,Круглый знак,False
Round Sign Text,Round Sign Text,Текст круглого знака,False
Hair Side,Hair Side,Сторона волос,False
Hair Side Outline,Hair Side Outline,Контур волос сбоку,False
Skin,Skin,Кожа,False
Skin Outline,Skin Outline,Контур кожи,False
Square Sign,Square Sign,Квадратный знак,False
Square Sign Text,Square Sign Text,Текст квадратного знака,False
Steering Wheel,Steering Wheel,Руль,False
Gas Bottle,Gas Bottle,Газовый баллон,False
Pat Hand,Pat Hand,Пэт Хэнд,False
Sticker Alert,Sticker Alert,Наклейка Оповещение,False
Sticker Alert Effect,Sticker Alert Effect,Эффект оповещения стикера,False
Sticker Alert Outline,Sticker Alert Outline,Схема оповещения о наклейках,False
Sticker Angry,Sticker Angry,Наклейка Злой,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Наклейка с восклицательным знаком,False
Sticker Ghost,Sticker Ghost,Наклейка Призрак,False
Sticker Heart,Sticker Heart,Наклейка Сердце,False
Sticker Laugh,Sticker Laugh,Наклейка «Смех»,False
Sticker Question Mark,Sticker Question Mark,Наклейка с вопросительным знаком,False
Sticker Sleep,Sticker Sleep,Наклейка Сон,False
Sticker Star,Sticker Star,Наклейка Звезда,False
Sticker Steam,Sticker Steam,Наклейка Steam,False
Sticker Surprise,Sticker Surprise,Наклейка-сюрприз,False
Sticker Sweat,Sticker Sweat,Наклейка Пот,False
Sticker Sweat (Large),Sticker Sweat (Large),Наклейка Пот (большая),False
Sticker Volume,Sticker Volume,Объем наклейки,False
Sticky Note,Sticky Note,Заметка,False
Sticky Note Text,Sticky Note Text,Текст заметки,False
Eye Tear,Eye Tear,Глазная слеза,False
Utensil,Utensil,Посуда,False
Outfit Collar String,Outfit Collar String,Строка для воротника наряда,False
Bell,Bell,Белл,False
Confetti 1,Confetti 1,Конфетти 1,False
Confetti 2,Confetti 2,Конфетти 2,False
Confetti 3,Confetti 3,Конфетти 3,False
Microphone,Microphone,Микрофон,False
Gleam,Gleam,Блеск,False
Video Camera,Video Camera,Видеокамера,False
Point Hand,Point Hand,Точка руки,False
Bowl,Bowl,Чаша,False
Cake,Cake,Торт,False
Candle Fire,Candle Fire,Свеча Огонь,False
Drawing Tablet,Drawing Tablet,Планшет для рисования,False
Love Letter,Love Letter,Любовное письмо,False
Popper,Popper,Поппер,False
Stylus,Stylus,Стилус,False
Tablet,Tablet,Таблетка,False
Musical Note 1,Musical Note 1,Музыкальная нота 1,False
Musical Note 2,Musical Note 2,Музыкальная нота 2,False
Phone Screen,Phone Screen,Экран телефона,False
Tail,Tail,Хвост,False
Tail Outline,Tail Outline,Контур хвоста,False
Wing >>,Wing >>,Крыло >>,False
Wing >> Outline,Wing >> Outline,Крыло >> Схема,False
Wing <<,Wing <<,Крыло <<,False
Wing << Outline,Wing << Outline,Крыло << Схема,False
