Key,en,zh-Hant,reviewed
Hair Highlight 1 ><,Hair Highlight 1 ><,頭髮亮點1><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,頭髮亮點 1 >< 輪廓,False
Hair Highlight 2 ><,Hair Highlight 2 ><,頭髮亮點2><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,頭髮亮點 2 >< 輪廓,False
Hair Highlight 3 ><,Hair Highlight 3 ><,頭髮亮點3><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,頭髮亮點 3 >< 輪廓,False
Hair Highlight 4 ><,Hair Highlight 4 ><,頭髮亮點4><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,頭髮亮點 4 >< 輪廓,False
Hair Highlight 5 ><,Hair Highlight 5 ><,頭髮亮點5><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,頭髮亮點 5 >< 輪廓,False
Hair Highlight 6 ><,Hair Highlight 6 ><,頭髮亮點6><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,頭髮亮點 6 >< 輪廓,False
Hair Highlight 1 <<,Hair Highlight 1 <<,頭髮亮點 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,頭髮亮點 1 << 輪廓,False
Hair Highlight 2 <<,Hair Highlight 2 <<,頭髮亮點2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,頭髮亮點 2 << 輪廓,False
Hair Highlight 3 <<,Hair Highlight 3 <<,頭髮亮點 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,頭髮亮點 3 << 輪廓,False
Hairline Outline,Hairline Outline,髮際線輪廓,False
Hair Shine,Hair Shine,頭髮光澤,False
Hair Shine Outline,Hair Shine Outline,頭髮光澤輪廓,False
Halo,Halo,暈,False
Halo Outline,Halo Outline,光環輪廓,False
Hat,Hat,帽子,False
Hat Outline,Hat Outline,帽子輪廓,False
Hat Secondary,Hat Secondary,帽子中學,False
Hat Secondary Outline,Hat Secondary Outline,帽子次要輪廓,False
Hammer,Hammer,槌,False
Ear Wing >>,Ear Wing >>,耳翼>>,False
Ear Wing >> Outline,Ear Wing >> Outline,耳翼 >> 摘要,False
Ear Wing <<,Ear Wing <<,耳翼 <<,False
Ear Wing << Outline,Ear Wing << Outline,耳翼 << 輪廓,False
Heart,Heart,心,False
Horn >>,Horn >>,喇叭>>,False
Horn >> Outline,Horn >> Outline,喇叭 >> 概要,False
Horn <<,Horn <<,號角<<,False
Horn << Outline,Horn << Outline,號角 << 概要,False
Horn ><,Horn ><,喇叭><,False
Horn >< Outline,Horn >< Outline,喇叭 >< 概要,False
Jail Grill,Jail Grill,監獄燒烤,False
Keyboard,Keyboard,鍵盤,False
Kitchen Knife,Kitchen Knife,花椰菜刀,False
Laptop,Laptop,筆記型電腦,False
Laptop Light,Laptop Light,筆記型電腦燈,False
Leg >>,Leg >>,腿>>,False
Leg <<,Leg <<,腿<<,False
Lightstick Handle,Lightstick Handle,螢光棒手柄,False
Light Stick >>,Light Stick >>,螢光棒>>,False
Light Stick <<,Light Stick <<,螢光棒<<,False
Mecha,Mecha,機甲,False
Mecha >>,Mecha >>,機甲>>,False
Mecha >> Outline,Mecha >> Outline,機甲 >> 摘要,False
Mecha Outline,Mecha Outline,機甲概要,False
Mecha <<,Mecha <<,機甲 <<,False
Mecha << Outline,Mecha << Outline,機甲<<大綱,False
Mouse,Mouse,老鼠,False
Mouth/Tongue,Mouth/Tongue,嘴巴/舌頭,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,嘴/舌頭陰影,False
Notepad,Notepad,記事本,False
Outfit Collar,Outfit Collar,服裝領子,False
Outfit Collar Outline,Outfit Collar Outline,服裝領型輪廓,False
Outfit Inner,Outfit Inner,服飾內搭,False
Outfit Inner Outline,Outfit Inner Outline,服裝內部輪廓,False
Outfit Neckwear A,Outfit Neckwear A,服裝項鍊A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,服裝 領帶 A 輪廓,False
Outfit Neckwear B,Outfit Neckwear B,服飾領帶B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,服裝 領帶 B 輪廓,False
Outfit Neckwear C,Outfit Neckwear C,服飾領帶C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,服飾 領帶 C 輪廓,False
Outfit Outer,Outfit Outer,服裝外套,False
Outfit Outer Outline,Outfit Outer Outline,服裝外觀輪廓,False
Pencil,Pencil,鉛筆,False
Phone,Phone,電話,False
Phone Light,Phone Light,手機燈,False
Hair Pigtail >>,Hair Pigtail >>,頭髮辮子>>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,辮子 >> 摘要,False
Hair Pigtail <<,Hair Pigtail <<,辮子 <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,辮子 << 大綱,False
Rose,Rose,玫瑰,False
Round Sign,Round Sign,圓形標誌,False
Round Sign Text,Round Sign Text,圓形標誌文本,False
Hair Side,Hair Side,頭髮側,False
Hair Side Outline,Hair Side Outline,頭髮側面輪廓,False
Skin,Skin,皮膚,False
Skin Outline,Skin Outline,皮膚輪廓,False
Square Sign,Square Sign,方形標誌,False
Square Sign Text,Square Sign Text,方形符號文字,False
Steering Wheel,Steering Wheel,方向盤,False
Gas Bottle,Gas Bottle,氣瓶,False
Pat Hand,Pat Hand,拍手,False
Sticker Alert,Sticker Alert,貼紙警報,False
Sticker Alert Effect,Sticker Alert Effect,貼紙警報效果,False
Sticker Alert Outline,Sticker Alert Outline,貼紙警報大綱,False
Sticker Angry,Sticker Angry,貼紙生氣,False
Sticker Exclamation Mark,Sticker Exclamation Mark,貼紙驚嘆號,False
Sticker Ghost,Sticker Ghost,貼紙幽靈,False
Sticker Heart,Sticker Heart,貼紙心,False
Sticker Laugh,Sticker Laugh,貼紙笑,False
Sticker Question Mark,Sticker Question Mark,貼紙問號,False
Sticker Sleep,Sticker Sleep,貼紙睡眠,False
Sticker Star,Sticker Star,貼紙明星,False
Sticker Steam,Sticker Steam,貼紙蒸汽,False
Sticker Surprise,Sticker Surprise,貼紙驚喜,False
Sticker Sweat,Sticker Sweat,貼紙汗水,False
Sticker Sweat (Large),Sticker Sweat (Large),汗貼（大）,False
Sticker Volume,Sticker Volume,貼紙量,False
Sticky Note,Sticky Note,便利貼,False
Sticky Note Text,Sticky Note Text,便箋文本,False
Eye Tear,Eye Tear,眼睛流淚,False
Utensil,Utensil,用具,False
Outfit Collar String,Outfit Collar String,服飾領帶,False
Bell,Bell,鐘,False
Confetti 1,Confetti 1,五彩紙屑 1,False
Confetti 2,Confetti 2,五彩紙屑 2,False
Confetti 3,Confetti 3,五彩紙屑 3,False
Microphone,Microphone,麥克風,False
Gleam,Gleam,微光,False
Video Camera,Video Camera,攝影機,False
Point Hand,Point Hand,點手,False
Bowl,Bowl,碗,False
Cake,Cake,蛋糕,False
Candle Fire,Candle Fire,蠟燭火,False
Drawing Tablet,Drawing Tablet,繪圖板,False
Love Letter,Love Letter,情書,False
Popper,Popper,波普爾,False
Stylus,Stylus,手寫筆,False
Tablet,Tablet,藥片,False
Musical Note 1,Musical Note 1,音符1,False
Musical Note 2,Musical Note 2,音符2,False
Phone Screen,Phone Screen,手機螢幕,False
Tail,Tail,尾巴,False
Tail Outline,Tail Outline,尾部輪廓,False
Wing >>,Wing >>,翼>>,False
Wing >> Outline,Wing >> Outline,翼>>概要,False
Wing <<,Wing <<,翼 <<,False
Wing << Outline,Wing << Outline,翼 << 大綱,False
