Key,en,zh-Hant,reviewed
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,變焦速度,False
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,轉速,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,模型比例,False
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,水平偏移,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,垂直偏移,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,重置視口設定,False
MainMenu.Settings.ExportSettings,Animation Export Settings,動畫匯出設定,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,儲存位置,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,導出預設,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,編碼器,False
MainMenu.Settings.ExportSettings.Width,Width,寬度,False
MainMenu.Settings.ExportSettings.Height,Height,高度,False
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,限制最大值幀數,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,最大限度。幀數,False
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,阿爾法閾值,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,啟用抖動,False
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,重置導出設定,False
MainMenu.Editor.Export,Export Emote,導出表情,False
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,由模型創建者提供的許可。僅供參考，不代表EmoteLab開發者的觀點或法律立場。,False
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,未找到許可證。與創建者確認允許的使用。,False
LicensePopup.Close,Close,關閉,False
MainMenu.Editor.OpenExportFolder,Open Export Folder,打開匯出資料夾,False
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,載入內建模型的範例字符,False
MainMenu.Settings.ModelSettings,Model Settings,模型設定,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,正在儲存角色資料...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,正在載入角色...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,第三方許可證,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),最終用戶許可協議 (EULA),False
MainMenu.Info.Documentation,Documentation,文件,False
MainMenu.Info.Discord,Join Our Discord,加入我們的不和諧,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",此預設設定正確的格式和尺寸。很長的動畫可能會超出平台檔案大小限制，並且某些平台會限制某些內容。,False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,打開本地模型資料夾,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,打開角色資料夾,False
MainMenu.Info.Log,Open Log Folder,打開日誌資料夾,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,使用全域色表,False
MainMenu.Editor.ExportStatic,Export Static Image,導出靜態影像,False
MainMenu.Editor.Player.Speed,Speed,速度,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,靜態影像設定,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,重置靜態影像設定,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,取樣率,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,此切換可讓您在內部紋理和自訂紋理之間切換,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,編輯自訂紋理資料夾中的 PNG。以透明度儲存且不修改圖片大小,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",儲存編輯後，點擊此按鈕將變更套用到您的模型。,False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,保存你的角色。儲存按鈕位於介面左側角色清單下方。,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,在使用此功能之前，請先閱讀使用自訂紋理手冊。,False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,自訂紋理,False
MainMenu.Editor.Texture.Step1,Step 1,步驟1,False
MainMenu.Editor.Texture.Step2,Step 2,步驟2,False
MainMenu.Editor.Texture.Step3,Step 3,步驟3,False
MainMenu.Editor.Texture.Step4,Step 4,步驟4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,修復選定的輪廓,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,重置選定的圖集,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,紋理實用程式,False
MainMenu.Editor.Texture.SelectAll,Select All,選擇全部,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,切換選擇,False
MainMenu.Editor.Texture.AtlasList,Atlas List,圖集列表,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,這會將選定的圖集頁面重設為內建版本。任何未儲存的編輯都將遺失且無法復原。繼續？,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,調色板演算法,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,這將覆蓋選定的紋理檔案並且無法撤消。繼續？,False
