Key,en,hu,reviewed
Hairband D,Hairband D,Hajpánt D,False
Hairband D Outline,Hairband D Outline,Hajpánt D körvonal,False
Hair Bang >>,Hair Bang >>,Hair Bang >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Hair Bang >> Vázlat,False
Hair Bang ><,Hair Bang ><,Hair Bang ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Hair Bang >< Vázlat,False
Hair Bang <<,Hair Bang <<,Hair Bang <<,False
Hair Bang << Outline,Hair Bang << Outline,Hair Bang << Vázlat,False
Hair Clip >>,Hair Clip >>,Hajcsipesz >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Hajcsat >> Vázlat,False
Hair Clip <<,Hair Clip <<,Hajcsat <<,False
Hair Clip << Outline,Hair Clip << Outline,Hajcsat << Vázlat,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Hajkiemelés 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Hajkiemelés 1 >> Vázlat,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Hajkiemelés 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Hajkiemelés 2 >> Vázlat,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Hajkiemelés 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Hajkiemelés 3 >> Vázlat,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Hajkiemelés 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Hajkiemelés 1 >< Vázlat,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Hajkiemelés 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Hajkiemelés 2 >< Vázlat,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Hajkiemelés 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Hajkiemelés 3 >< Vázlat,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Hajkiemelés 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Hajkiemelés 4 >< Vázlat,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Hajkiemelés 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Hajkiemelés 5 >< Vázlat,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Hajkiemelés 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Hajkiemelés 6 >< Vázlat,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Hajkiemelés 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Hajkiemelés 1 << Vázlat,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Hajkiemelés 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Hajkiemelés 2 << Vázlat,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Hajkiemelés 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Hajkiemelés 3 << Vázlat,False
Hairline Outline,Hairline Outline,Hajvonal vázlat,False
Hair Shine,Hair Shine,Hajfény,False
Hair Shine Outline,Hair Shine Outline,Hajfény vázlat,False
Halo,Halo,Halo,False
Halo Outline,Halo Outline,Halo Outline,False
Hat,Hat,Kalap,False
Hat Outline,Hat Outline,Kalap vázlat,False
Hat Secondary,Hat Secondary,Kalap másodlagos,False
Hat Secondary Outline,Hat Secondary Outline,Kalap másodlagos vázlat,False
Hammer,Hammer,Kalapács,False
Ear Wing >>,Ear Wing >>,Fülszárny >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Fülszárny >> Vázlat,False
Ear Wing <<,Ear Wing <<,Fülszárny <<,False
Ear Wing << Outline,Ear Wing << Outline,Fülszárny << Vázlat,False
Heart,Heart,Szív,False
Horn >>,Horn >>,Kürt >>,False
Horn >> Outline,Horn >> Outline,Kürt >> Vázlat,False
Horn <<,Horn <<,Kürt <<,False
Horn << Outline,Horn << Outline,Kürt << Vázlat,False
Horn ><,Horn ><,Kürt ><,False
Horn >< Outline,Horn >< Outline,Kürt >< Vázlat,False
Jail Grill,Jail Grill,Jail Grill,False
Keyboard,Keyboard,Billentyűzet,False
Kitchen Knife,Kitchen Knife,Konyhai kés,False
Laptop,Laptop,Laptop,False
Laptop Light,Laptop Light,Laptop fény,False
Leg >>,Leg >>,Láb >>,False
Leg <<,Leg <<,Láb <<,False
Lightstick Handle,Lightstick Handle,Lightstick fogantyú,False
Light Stick >>,Light Stick >>,Light Stick >>,False
Light Stick <<,Light Stick <<,Light Stick <<,False
Mecha,Mecha,Mecha,False
Mecha >>,Mecha >>,Mecha >>,False
Mecha >> Outline,Mecha >> Outline,Mecha >> Vázlat,False
Mecha Outline,Mecha Outline,Mecha körvonal,False
Mecha <<,Mecha <<,Mecha <<,False
Mecha << Outline,Mecha << Outline,Mecha << Vázlat,False
Mouse,Mouse,Egér,False
Mouth/Tongue,Mouth/Tongue,Száj/nyelv,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Száj/nyelv árnyék,False
Notepad,Notepad,Jegyzettömb,False
Outfit Collar,Outfit Collar,Outfit gallér,False
Outfit Collar Outline,Outfit Collar Outline,Outfit gallér vázlat,False
Outfit Inner,Outfit Inner,Outfit belső,False
Outfit Inner Outline,Outfit Inner Outline,Outfit belső körvonala,False
Outfit Neckwear A,Outfit Neckwear A,Outfit Neckwear A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Outfit Neckwear Egy körvonal,False
Outfit Neckwear B,Outfit Neckwear B,Outfit Neckwear B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Outfit Neckwear B körvonal,False
Outfit Neckwear C,Outfit Neckwear C,Outfit Neckwear C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Outfit Neckwear C körvonal,False
Outfit Outer,Outfit Outer,Outfit Outer,False
Outfit Outer Outline,Outfit Outer Outline,Outfit külső körvonala,False
Pencil,Pencil,Ceruza,False
Phone,Phone,Telefon,False
Phone Light,Phone Light,Telefonfény,False
Hair Pigtail >>,Hair Pigtail >>,Haj Pigtail >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Haj Pigtail >> Vázlat,False
Hair Pigtail <<,Hair Pigtail <<,Haj Pigtail <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Haj Pigtail << Vázlat,False
Rose,Rose,Rózsa,False
Round Sign,Round Sign,Kerek Jel,False
Round Sign Text,Round Sign Text,Kerek jel szöveg,False
Hair Side,Hair Side,Hajoldal,False
Hair Side Outline,Hair Side Outline,Haj oldalsó körvonal,False
Skin,Skin,Bőr,False
Skin Outline,Skin Outline,Bőr körvonala,False
Square Sign,Square Sign,négyzet alakú jel,False
Square Sign Text,Square Sign Text,Négyzet alakú jel szöveg,False
Steering Wheel,Steering Wheel,Kormánykerék,False
Gas Bottle,Gas Bottle,Gázpalack,False
Pat Hand,Pat Hand,Pat Hand,False
Sticker Alert,Sticker Alert,Matrica figyelmeztetés,False
Sticker Alert Effect,Sticker Alert Effect,Matrica figyelmeztető hatás,False
Sticker Alert Outline,Sticker Alert Outline,Matrica figyelmeztetés vázlata,False
Sticker Angry,Sticker Angry,Dühös matrica,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Matrica felkiáltójel,False
Sticker Ghost,Sticker Ghost,Matrica Ghost,False
Sticker Heart,Sticker Heart,Matrica szív,False
Sticker Laugh,Sticker Laugh,Nevetés matrica,False
Sticker Question Mark,Sticker Question Mark,Matrica kérdőjel,False
Sticker Sleep,Sticker Sleep,Alvó matrica,False
Sticker Star,Sticker Star,Matrica csillag,False
Sticker Steam,Sticker Steam,Steam matrica,False
Sticker Surprise,Sticker Surprise,Matrica Meglepetés,False
Sticker Sweat,Sticker Sweat,Matrica verejték,False
Sticker Sweat (Large),Sticker Sweat (Large),Izzadt matrica (nagy),False
Sticker Volume,Sticker Volume,Matrica kötet,False
Sticky Note,Sticky Note,Sticky Note,False
Sticky Note Text,Sticky Note Text,Sticky Note szöveg,False
Eye Tear,Eye Tear,Eye Tear,False
Utensil,Utensil,Konyhaedény,False
Outfit Collar String,Outfit Collar String,Outfit nyakörv,False
Bell,Bell,Harang,False
Confetti 1,Confetti 1,Konfetti 1,False
Confetti 2,Confetti 2,Konfetti 2,False
Confetti 3,Confetti 3,Konfetti 3,False
Microphone,Microphone,Mikrofon,False
Gleam,Gleam,Csillog,False
Video Camera,Video Camera,Videokamera,False
Point Hand,Point Hand,Pontos kéz,False
Bowl,Bowl,Tál,False
Cake,Cake,Torta,False
Candle Fire,Candle Fire,Gyertya tűz,False
Drawing Tablet,Drawing Tablet,Rajz tábla,False
Love Letter,Love Letter,Szerelmeslevél,False
Popper,Popper,Popper,False
Stylus,Stylus,Stylus,False
Tablet,Tablet,Tabletta,False
Musical Note 1,Musical Note 1,Hangjegy 1,False
Musical Note 2,Musical Note 2,Hangjegy 2,False
Phone Screen,Phone Screen,Telefon képernyő,False
Tail,Tail,Farok,False
Tail Outline,Tail Outline,Farok körvonala,False
Wing >>,Wing >>,Szárny >>,False
Wing >> Outline,Wing >> Outline,Szárny >> Vázlat,False
Wing <<,Wing <<,Szárny <<,False
Wing << Outline,Wing << Outline,Szárny << Vázlat,False
