Key,en,hu
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Hajkiemelés 3 >> Vázlat
Hair Highlight 1 ><,Hair Highlight 1 ><,Hajkiemelés 1 ><
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Hajkiemelés 1 >< Vázlat
Hair Highlight 2 ><,Hair Highlight 2 ><,Hajkiemelés 2 ><
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Hajkiemelés 2 >< Vázlat
Hair Highlight 3 ><,Hair Highlight 3 ><,Hajkiemelés 3 ><
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Hajkiemelés 3 >< Vázlat
Hair Highlight 4 ><,Hair Highlight 4 ><,Hajkiemelés 4 ><
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Hajkiemelés 4 >< Vázlat
Hair Highlight 5 ><,Hair Highlight 5 ><,Hajkiemelés 5 ><
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Hajkiemelés 5 >< Vázlat
Hair Highlight 6 ><,Hair Highlight 6 ><,Hajkiemelés 6 ><
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Hajkiemelés 6 >< Vázlat
Hair Highlight 1 <<,Hair Highlight 1 <<,Hajkiemelés 1 <<
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Hajkiemelés 1 << Vázlat
Hair Highlight 2 <<,Hair Highlight 2 <<,Hajkiemelés 2 <<
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Hajkiemelés 2 << Vázlat
Hair Highlight 3 <<,Hair Highlight 3 <<,Hajkiemelés 3 <<
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Hajkiemelés 3 << Vázlat
Hairline Outline,Hairline Outline,Hajvonal vázlat
Hair Shine,Hair Shine,Hajfény
Hair Shine Outline,Hair Shine Outline,Hajfény vázlat
Halo,Halo,Halo
Halo Outline,Halo Outline,Halo Outline
Hat,Hat,Kalap
Hat Outline,Hat Outline,Kalap vázlat
Hat Secondary,Hat Secondary,Kalap másodlagos
Hat Secondary Outline,Hat Secondary Outline,Kalap másodlagos vázlat
Hammer,Hammer,Kalapács
Ear Wing >>,Ear Wing >>,Fülszárny >>
Ear Wing >> Outline,Ear Wing >> Outline,Fülszárny >> Vázlat
Ear Wing <<,Ear Wing <<,Fülszárny <<
Ear Wing << Outline,Ear Wing << Outline,Fülszárny << Vázlat
Heart,Heart,Szív
Horn >>,Horn >>,Kürt >>
Horn >> Outline,Horn >> Outline,Kürt >> Vázlat
Horn <<,Horn <<,Kürt <<
Horn << Outline,Horn << Outline,Kürt << Vázlat
Horn ><,Horn ><,Kürt ><
Horn >< Outline,Horn >< Outline,Kürt >< Vázlat
Jail Grill,Jail Grill,Jail Grill
Keyboard,Keyboard,Billentyűzet
Kitchen Knife,Kitchen Knife,Konyhai kés
Laptop,Laptop,Laptop
Laptop Light,Laptop Light,Laptop fény
Leg >>,Leg >>,Láb >>
Leg <<,Leg <<,Láb <<
Lightstick Handle,Lightstick Handle,Lightstick fogantyú
Light Stick >>,Light Stick >>,Light Stick >>
Light Stick <<,Light Stick <<,Light Stick <<
Mecha,Mecha,Mecha
Mecha >>,Mecha >>,Mecha >>
Mecha >> Outline,Mecha >> Outline,Mecha >> Vázlat
Mecha Outline,Mecha Outline,Mecha körvonal
Mecha <<,Mecha <<,Mecha <<
Mecha << Outline,Mecha << Outline,Mecha << Vázlat
Mouse,Mouse,Egér
Mouth/Tongue,Mouth/Tongue,Száj/nyelv
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Száj/nyelv árnyék
Notepad,Notepad,Jegyzettömb
Outfit Collar,Outfit Collar,Outfit gallér
Outfit Collar Outline,Outfit Collar Outline,Outfit gallér vázlat
Outfit Inner,Outfit Inner,Outfit belső
Outfit Inner Outline,Outfit Inner Outline,Outfit belső körvonala
Outfit Neckwear A,Outfit Neckwear A,Outfit Neckwear A
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Outfit Neckwear Egy körvonal
Outfit Neckwear B,Outfit Neckwear B,Outfit Neckwear B
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Outfit Neckwear B körvonal
Outfit Neckwear C,Outfit Neckwear C,Outfit Neckwear C
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Outfit Neckwear C körvonal
Outfit Outer,Outfit Outer,Outfit Outer
Outfit Outer Outline,Outfit Outer Outline,Outfit külső körvonala
Pencil,Pencil,Ceruza
Phone,Phone,Telefon
Phone Light,Phone Light,Telefonfény
Hair Pigtail >>,Hair Pigtail >>,Haj Pigtail >>
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Haj Pigtail >> Vázlat
Hair Pigtail <<,Hair Pigtail <<,Haj Pigtail <<
Hair Pigtail << Outline,Hair Pigtail << Outline,Haj Pigtail << Vázlat
Rose,Rose,Rózsa
Round Sign,Round Sign,Kerek Jel
Round Sign Text,Round Sign Text,Kerek jel szöveg
Hair Side,Hair Side,Hajoldal
Hair Side Outline,Hair Side Outline,Haj oldalsó körvonal
Skin,Skin,Bőr
Skin Outline,Skin Outline,Bőr körvonala
Square Sign,Square Sign,négyzet alakú jel
Square Sign Text,Square Sign Text,Négyzet alakú jel szöveg
Steering Wheel,Steering Wheel,Kormánykerék
Gas Bottle,Gas Bottle,Gázpalack
Pat Hand,Pat Hand,Pat Hand
Sticker Alert,Sticker Alert,Matrica figyelmeztetés
Sticker Alert Effect,Sticker Alert Effect,Matrica figyelmeztető hatás
Sticker Alert Outline,Sticker Alert Outline,Matrica figyelmeztetés vázlata
Sticker Angry,Sticker Angry,Dühös matrica
Sticker Exclamation Mark,Sticker Exclamation Mark,Matrica felkiáltójel
Sticker Ghost,Sticker Ghost,Matrica Ghost
Sticker Heart,Sticker Heart,Matrica szív
Sticker Laugh,Sticker Laugh,Nevetés matrica
Sticker Question Mark,Sticker Question Mark,Matrica kérdőjel
Sticker Sleep,Sticker Sleep,Alvó matrica
Sticker Star,Sticker Star,Matrica csillag
Sticker Steam,Sticker Steam,Steam matrica
Sticker Surprise,Sticker Surprise,Matrica Meglepetés
Sticker Sweat,Sticker Sweat,Matrica verejték
Sticker Sweat (Large),Sticker Sweat (Large),Izzadt matrica (nagy)
Sticker Volume,Sticker Volume,Matrica kötet
Sticky Note,Sticky Note,Sticky Note
Sticky Note Text,Sticky Note Text,Sticky Note szöveg
Eye Tear,Eye Tear,Eye Tear
Utensil,Utensil,Konyhaedény
Outfit Collar String,Outfit Collar String,Outfit nyakörv
