Key,en,ko,reviewed
Hair Framing << Outline,Hair Framing << Outline,헤어 프레이밍 << 개요,False
Gill,Gill,아가미,False
Gill Outline,Gill Outline,길 외곽선,False
Glasses,Glasses,안경,False
Hairband A,Hairband A,헤어밴드A,False
Hairband A Outline,Hairband A Outline,헤어밴드A 개요,False
Hairband B,Hairband B,헤어밴드B,False
Hairband B Outline,Hairband B Outline,헤어밴드B 개요,False
Hairband C,Hairband C,헤어밴드 C,False
Hairband C Outline,Hairband C Outline,헤어밴드C 개요,False
Hairband D,Hairband D,헤어밴드 D,False
Hairband D Outline,Hairband D Outline,헤어밴드D 개요,False
Hair Bang >>,Hair Bang >>,헤어뱅 >>,False
Hair Bang >> Outline,Hair Bang >> Outline,헤어뱅 >> 개요,False
Hair Bang ><,Hair Bang ><,헤어뱅 ><,False
Hair Bang >< Outline,Hair Bang >< Outline,헤어뱅 >< 개요,False
Hair Bang <<,Hair Bang <<,헤어뱅 <<,False
Hair Bang << Outline,Hair Bang << Outline,헤어뱅 << 개요,False
Hair Clip >>,Hair Clip >>,헤어클립 >>,False
Hair Clip >> Outline,Hair Clip >> Outline,헤어핀 >> 개요,False
Hair Clip <<,Hair Clip <<,헤어클립 <<,False
Hair Clip << Outline,Hair Clip << Outline,헤어클립 << 개요,False
Hair Highlight 1 >>,Hair Highlight 1 >>,헤어 하이라이트 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,헤어 하이라이트 1 >> 개요,False
Hair Highlight 2 >>,Hair Highlight 2 >>,헤어 하이라이트 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,헤어하이라이트2 >> 개요,False
Hair Highlight 3 >>,Hair Highlight 3 >>,헤어 하이라이트 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,헤어하이라이트3 >> 개요,False
Hair Highlight 1 ><,Hair Highlight 1 ><,헤어하이라이트 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,헤어하이라이트 1 >< 개요,False
Hair Highlight 2 ><,Hair Highlight 2 ><,헤어하이라이트 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,헤어하이라이트 2 >< 개요,False
Hair Highlight 3 ><,Hair Highlight 3 ><,헤어하이라이트 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,헤어하이라이트3 >< 개요,False
Hair Highlight 4 ><,Hair Highlight 4 ><,헤어하이라이트 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,헤어하이라이트 4 >< 개요,False
Hair Highlight 5 ><,Hair Highlight 5 ><,헤어하이라이트 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,헤어하이라이트 5 >< 개요,False
Hair Highlight 6 ><,Hair Highlight 6 ><,헤어하이라이트 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,헤어하이라이트 6 >< 개요,False
Hair Highlight 1 <<,Hair Highlight 1 <<,헤어 하이라이트 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,헤어 하이라이트 1 << 개요,False
Hair Highlight 2 <<,Hair Highlight 2 <<,헤어 하이라이트 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,헤어하이라이트 2 << 개요,False
Hair Highlight 3 <<,Hair Highlight 3 <<,헤어 하이라이트 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,헤어하이라이트3 << 개요,False
Hairline Outline,Hairline Outline,헤어라인 외곽선,False
Hair Shine,Hair Shine,헤어 샤인,False
Hair Shine Outline,Hair Shine Outline,헤어 샤인 개요,False
Halo,Halo,후광,False
Halo Outline,Halo Outline,헤일로 개요,False
Hat,Hat,모자,False
Hat Outline,Hat Outline,모자 개요,False
Hat Secondary,Hat Secondary,모자 보조,False
Hat Secondary Outline,Hat Secondary Outline,모자 보조 개요,False
Hammer,Hammer,망치,False
Ear Wing >>,Ear Wing >>,귀 날개 >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Ear Wing >> 개요,False
Ear Wing <<,Ear Wing <<,귀 날개 <<,False
Ear Wing << Outline,Ear Wing << Outline,이어윙 << 개요,False
Heart,Heart,마음,False
Horn >>,Horn >>,혼 >>,False
Horn >> Outline,Horn >> Outline,혼 >> 개요,False
Horn <<,Horn <<,혼 <<,False
Horn << Outline,Horn << Outline,혼 << 개요,False
Horn ><,Horn ><,혼 ><,False
Horn >< Outline,Horn >< Outline,혼 >< 개요,False
Jail Grill,Jail Grill,감옥 그릴,False
Keyboard,Keyboard,건반,False
Kitchen Knife,Kitchen Knife,부엌칼,False
Laptop,Laptop,랩탑,False
Laptop Light,Laptop Light,노트북 라이트,False
Leg >>,Leg >>,다리 >>,False
Leg <<,Leg <<,다리 <<,False
Lightstick Handle,Lightstick Handle,응원봉 손잡이,False
Light Stick >>,Light Stick >>,라이트스틱 >>,False
Light Stick <<,Light Stick <<,라이트스틱 <<,False
Mecha,Mecha,메카,False
Mecha >>,Mecha >>,메카 >>,False
Mecha >> Outline,Mecha >> Outline,메카 >> 개요,False
Mecha Outline,Mecha Outline,메카 개요,False
Mecha <<,Mecha <<,메카 <<,False
Mecha << Outline,Mecha << Outline,메카 << 개요,False
Mouse,Mouse,생쥐,False
Mouth/Tongue,Mouth/Tongue,입/혀,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,입/혀 그림자,False
Notepad,Notepad,메모장,False
Outfit Collar,Outfit Collar,의상 칼라,False
Outfit Collar Outline,Outfit Collar Outline,의상 칼라 개요,False
Outfit Inner,Outfit Inner,의상 내부,False
Outfit Inner Outline,Outfit Inner Outline,의상 내부 개요,False
Outfit Neckwear A,Outfit Neckwear A,아웃핏 넥웨어 A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,아웃핏 넥웨어 A 개요,False
Outfit Neckwear B,Outfit Neckwear B,아웃핏 넥웨어 B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,아웃핏 넥웨어 B 개요,False
Outfit Neckwear C,Outfit Neckwear C,아웃핏 넥웨어 C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,아웃핏 넥웨어 C 개요,False
Outfit Outer,Outfit Outer,의상 아우터,False
Outfit Outer Outline,Outfit Outer Outline,의상 외부 개요,False
Pencil,Pencil,연필,False
Phone,Phone,핸드폰,False
Phone Light,Phone Light,전화 조명,False
Hair Pigtail >>,Hair Pigtail >>,헤어 피그테일 >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,헤어 피그테일 >> 개요,False
Hair Pigtail <<,Hair Pigtail <<,머리 땋은 머리 <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,헤어 피그테일 << 개요,False
Rose,Rose,장미,False
Round Sign,Round Sign,둥근 표시,False
Round Sign Text,Round Sign Text,둥근 기호 텍스트,False
Hair Side,Hair Side,헤어사이드,False
Hair Side Outline,Hair Side Outline,머리 옆 윤곽선,False
Skin,Skin,피부,False
Skin Outline,Skin Outline,피부 윤곽,False
Square Sign,Square Sign,정사각형 표시,False
Square Sign Text,Square Sign Text,사각형 기호 텍스트,False
Steering Wheel,Steering Wheel,스티어링 휠,False
Gas Bottle,Gas Bottle,가스통,False
Pat Hand,Pat Hand,팻 핸드,False
Sticker Alert,Sticker Alert,스티커 알림,False
Sticker Alert Effect,Sticker Alert Effect,스티커 알림 효과,False
Sticker Alert Outline,Sticker Alert Outline,스티커 알림 개요,False
Sticker Angry,Sticker Angry,스티커 화가,False
Sticker Exclamation Mark,Sticker Exclamation Mark,스티커 느낌표,False
Sticker Ghost,Sticker Ghost,스티커 고스트,False
Sticker Heart,Sticker Heart,스티커 하트,False
Sticker Laugh,Sticker Laugh,스티커 웃음,False
Sticker Question Mark,Sticker Question Mark,스티커 물음표,False
Sticker Sleep,Sticker Sleep,스티커 수면,False
Sticker Star,Sticker Star,스티커 별,False
Sticker Steam,Sticker Steam,스티커 스팀,False
Sticker Surprise,Sticker Surprise,스티커 서프라이즈,False
Sticker Sweat,Sticker Sweat,스티커 땀,False
Sticker Sweat (Large),Sticker Sweat (Large),스티커 스웨트(대),False
Sticker Volume,Sticker Volume,스티커 볼륨,False
Sticky Note,Sticky Note,스티커 메모,False
Sticky Note Text,Sticky Note Text,스티커 메모 텍스트,False
Eye Tear,Eye Tear,눈의 눈물,False
Utensil,Utensil,기구,False
Outfit Collar String,Outfit Collar String,의상 칼라 스트링,False
Bell,Bell,벨,False
Confetti 1,Confetti 1,색종이 1,False
Confetti 2,Confetti 2,색종이 2,False
Confetti 3,Confetti 3,색종이 3,False
Microphone,Microphone,마이크로폰,False
Gleam,Gleam,번득임,False
Video Camera,Video Camera,비디오 카메라,False
Point Hand,Point Hand,포인트 핸드,False
Bowl,Bowl,그릇,False
Cake,Cake,케이크,False
Candle Fire,Candle Fire,촛불불,False
Drawing Tablet,Drawing Tablet,드로잉 태블릿,False
Love Letter,Love Letter,연애 편지,False
Popper,Popper,포퍼,False
Stylus,Stylus,첨필,False
Tablet,Tablet,태블릿,False
Musical Note 1,Musical Note 1,음표 1,False
Musical Note 2,Musical Note 2,음표 2,False
Phone Screen,Phone Screen,전화 화면,False
Tail,Tail,꼬리,False
Tail Outline,Tail Outline,꼬리 외곽선,False
Wing >>,Wing >>,윙 >>,False
Wing >> Outline,Wing >> Outline,날개 >> 개요,False
Wing <<,Wing <<,윙 <<,False
Wing << Outline,Wing << Outline,날개 << 개요,False
