Key,en,ko
Eye Iris Light <<,Eye Iris Light <<,눈 홍채 빛 <<
Eye(Dum) Outline,Eye(Dum) Outline,눈(Dum) 외곽선
Eye Sparkling,Eye Sparkling,눈 반짝임
Eye Spiral,Eye Spiral,눈 나선형
Eye White,Eye White,눈 흰자
Face Shadow,Face Shadow,페이스 섀도우
Fin >>,Fin >>,핀 >>
Fin >> Outline,Fin >> Outline,핀 >> 개요
Fin <<,Fin <<,핀 <<
Fin << Outline,Fin << Outline,핀 << 개요
Hair Framing >>,Hair Framing >>,헤어 프레이밍 >>
Hair Framing >> Outline,Hair Framing >> Outline,헤어 프레이밍 >> 개요
Hair Framing <<,Hair Framing <<,헤어 프레이밍 <<
Hair Framing << Outline,Hair Framing << Outline,헤어 프레이밍 << 개요
Gill,Gill,아가미
Gill Outline,Gill Outline,길 외곽선
Glasses,Glasses,안경
Hairband A,Hairband A,헤어밴드A
Hairband A Outline,Hairband A Outline,헤어밴드A 개요
Hairband B,Hairband B,헤어밴드B
Hairband B Outline,Hairband B Outline,헤어밴드B 개요
Hairband C,Hairband C,헤어밴드 C
Hairband C Outline,Hairband C Outline,헤어밴드C 개요
Hairband D,Hairband D,헤어밴드 D
Hairband D Outline,Hairband D Outline,헤어밴드D 개요
Hair Bang >>,Hair Bang >>,헤어뱅 >>
Hair Bang >> Outline,Hair Bang >> Outline,헤어뱅 >> 개요
Hair Bang ><,Hair Bang ><,헤어뱅 ><
Hair Bang >< Outline,Hair Bang >< Outline,헤어뱅 >< 개요
Hair Bang <<,Hair Bang <<,헤어뱅 <<
Hair Bang << Outline,Hair Bang << Outline,헤어뱅 << 개요
Hair Clip >>,Hair Clip >>,헤어클립 >>
Hair Clip >> Outline,Hair Clip >> Outline,헤어핀 >> 개요
Hair Clip <<,Hair Clip <<,헤어클립 <<
Hair Clip << Outline,Hair Clip << Outline,헤어클립 << 개요
Hair Highlight 1 >>,Hair Highlight 1 >>,헤어 하이라이트 1 >>
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,헤어 하이라이트 1 >> 개요
Hair Highlight 2 >>,Hair Highlight 2 >>,헤어 하이라이트 2 >>
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,헤어하이라이트2 >> 개요
Hair Highlight 3 >>,Hair Highlight 3 >>,헤어 하이라이트 3 >>
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,헤어하이라이트3 >> 개요
Hair Highlight 1 ><,Hair Highlight 1 ><,헤어하이라이트 1 ><
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,헤어하이라이트 1 >< 개요
Hair Highlight 2 ><,Hair Highlight 2 ><,헤어하이라이트 2 ><
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,헤어하이라이트 2 >< 개요
Hair Highlight 3 ><,Hair Highlight 3 ><,헤어하이라이트 3 ><
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,헤어하이라이트3 >< 개요
Hair Highlight 4 ><,Hair Highlight 4 ><,헤어하이라이트 4 ><
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,헤어하이라이트 4 >< 개요
Hair Highlight 5 ><,Hair Highlight 5 ><,헤어하이라이트 5 ><
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,헤어하이라이트 5 >< 개요
Hair Highlight 6 ><,Hair Highlight 6 ><,헤어하이라이트 6 ><
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,헤어하이라이트 6 >< 개요
Hair Highlight 1 <<,Hair Highlight 1 <<,헤어 하이라이트 1 <<
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,헤어 하이라이트 1 << 개요
Hair Highlight 2 <<,Hair Highlight 2 <<,헤어 하이라이트 2 <<
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,헤어하이라이트 2 << 개요
Hair Highlight 3 <<,Hair Highlight 3 <<,헤어 하이라이트 3 <<
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,헤어하이라이트3 << 개요
Hairline Outline,Hairline Outline,헤어라인 외곽선
Hair Shine,Hair Shine,헤어 샤인
Hair Shine Outline,Hair Shine Outline,헤어 샤인 개요
Halo,Halo,후광
Halo Outline,Halo Outline,헤일로 개요
Hat,Hat,모자
Hat Outline,Hat Outline,모자 개요
Hat Secondary,Hat Secondary,모자 보조
Hat Secondary Outline,Hat Secondary Outline,모자 보조 개요
Hammer,Hammer,망치
Ear Wing >>,Ear Wing >>,귀 날개 >>
Ear Wing >> Outline,Ear Wing >> Outline,Ear Wing >> 개요
Ear Wing <<,Ear Wing <<,귀 날개 <<
Ear Wing << Outline,Ear Wing << Outline,이어윙 << 개요
Heart,Heart,마음
Horn >>,Horn >>,혼 >>
Horn >> Outline,Horn >> Outline,혼 >> 개요
Horn <<,Horn <<,혼 <<
Horn << Outline,Horn << Outline,혼 << 개요
Horn ><,Horn ><,혼 ><
Horn >< Outline,Horn >< Outline,혼 >< 개요
Jail Grill,Jail Grill,감옥 그릴
Keyboard,Keyboard,건반
Kitchen Knife,Kitchen Knife,부엌칼
Laptop,Laptop,랩탑
Laptop Light,Laptop Light,노트북 라이트
Leg >>,Leg >>,다리 >>
Leg <<,Leg <<,다리 <<
Lightstick Handle,Lightstick Handle,응원봉 손잡이
Light Stick >>,Light Stick >>,라이트스틱 >>
Light Stick <<,Light Stick <<,라이트스틱 <<
Mecha,Mecha,메카
Mecha >>,Mecha >>,메카 >>
Mecha >> Outline,Mecha >> Outline,메카 >> 개요
Mecha Outline,Mecha Outline,메카 개요
Mecha <<,Mecha <<,메카 <<
Mecha << Outline,Mecha << Outline,메카 << 개요
Mouse,Mouse,생쥐
Mouth/Tongue,Mouth/Tongue,입/혀
Mouth/Tongue Shadow,Mouth/Tongue Shadow,입/혀 그림자
Notepad,Notepad,메모장
Outfit Collar,Outfit Collar,의상 칼라
Outfit Collar Outline,Outfit Collar Outline,의상 칼라 개요
Outfit Inner,Outfit Inner,의상 내부
Outfit Inner Outline,Outfit Inner Outline,의상 내부 개요
Outfit Neckwear A,Outfit Neckwear A,아웃핏 넥웨어 A
Outfit Neckwear A Outline,Outfit Neckwear A Outline,아웃핏 넥웨어 A 개요
Outfit Neckwear B,Outfit Neckwear B,아웃핏 넥웨어 B
Outfit Neckwear B Outline,Outfit Neckwear B Outline,아웃핏 넥웨어 B 개요
Outfit Neckwear C,Outfit Neckwear C,아웃핏 넥웨어 C
Outfit Neckwear C Outline,Outfit Neckwear C Outline,아웃핏 넥웨어 C 개요
Outfit Outer,Outfit Outer,의상 아우터
Outfit Outer Outline,Outfit Outer Outline,의상 외부 개요
Pencil,Pencil,연필
Phone,Phone,핸드폰
Phone Light,Phone Light,전화 조명
Hair Pigtail >>,Hair Pigtail >>,헤어 피그테일 >>
Hair Pigtail >> Outline,Hair Pigtail >> Outline,헤어 피그테일 >> 개요
Hair Pigtail <<,Hair Pigtail <<,머리 땋은 머리 <<
Hair Pigtail << Outline,Hair Pigtail << Outline,헤어 피그테일 << 개요
Rose,Rose,장미
Round Sign,Round Sign,둥근 표시
Round Sign Text,Round Sign Text,둥근 기호 텍스트
Hair Side,Hair Side,헤어사이드
Hair Side Outline,Hair Side Outline,머리 옆 윤곽선
Skin,Skin,피부
Skin Outline,Skin Outline,피부 윤곽
Square Sign,Square Sign,정사각형 표시
Square Sign Text,Square Sign Text,사각형 기호 텍스트
Steering Wheel,Steering Wheel,스티어링 휠
Gas Bottle,Gas Bottle,가스통
Pat Hand,Pat Hand,팻 핸드
Sticker Alert,Sticker Alert,스티커 알림
Sticker Alert Effect,Sticker Alert Effect,스티커 알림 효과
Sticker Alert Outline,Sticker Alert Outline,스티커 알림 개요
Sticker Angry,Sticker Angry,스티커 화가
Sticker Exclamation Mark,Sticker Exclamation Mark,스티커 느낌표
Sticker Ghost,Sticker Ghost,스티커 고스트
Sticker Heart,Sticker Heart,스티커 하트
Sticker Laugh,Sticker Laugh,스티커 웃음
Sticker Question Mark,Sticker Question Mark,스티커 물음표
Sticker Sleep,Sticker Sleep,스티커 수면
Sticker Star,Sticker Star,스티커 별
Sticker Steam,Sticker Steam,스티커 스팀
Sticker Surprise,Sticker Surprise,스티커 서프라이즈
Sticker Sweat,Sticker Sweat,스티커 땀
Sticker Sweat (Large),Sticker Sweat (Large),스티커 스웨트(대)
Sticker Volume,Sticker Volume,스티커 볼륨
Sticky Note,Sticky Note,스티커 메모
Sticky Note Text,Sticky Note Text,스티커 메모 텍스트
Eye Tear,Eye Tear,눈의 눈물
Utensil,Utensil,기구
Outfit Collar String,Outfit Collar String,의상 칼라 스트링
