Key,en,zh-Hans,reviewed
Hairband C Outline,Hairband C Outline,发带 C 轮廓,True
Hairband D,Hairband D,发带 D,True
Hairband D Outline,Hairband D Outline,发带 D 轮廓,True
Hair Bang >>,Hair Bang >>,头发 刘海 >>,True
Hair Bang >> Outline,Hair Bang >> Outline,头发 刘海 >> 轮廓,True
Hair Bang ><,Hair Bang ><,头发 刘海 ><,True
Hair Bang >< Outline,Hair Bang >< Outline,头发 刘海 >< 轮廓,True
Hair Bang <<,Hair Bang <<,头发 刘海 <<,True
Hair Bang << Outline,Hair Bang << Outline,头发 刘海 << 轮廓,True
Hair Clip >>,Hair Clip >>,发夹 >>,True
Hair Clip >> Outline,Hair Clip >> Outline,发夹 >> 轮廓,True
Hair Clip <<,Hair Clip <<,发夹 <<,True
Hair Clip << Outline,Hair Clip << Outline,发夹 << 轮廓,True
Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >> ,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,挑染 1 >> 轮廓,True
Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >> ,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,挑染 2 >> 轮廓,True
Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >> ,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,挑染 3 >> 轮廓,True
Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 >< ,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,挑染 1 >< 轮廓,True
Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 >< ,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,挑染 2 >< 轮廓,True
Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 >< ,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,挑染 3 >< 轮廓,True
Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 >< ,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,挑染 4 >< 轮廓,True
Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 >< ,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,挑染 5 >< 轮廓,True
Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 >< ,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,挑染 6 >< 轮廓,True
Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 << ,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,挑染 1 << 轮廓,True
Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 << ,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,挑染 2 << 轮廓,True
Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 << ,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,挑染 3 << 轮廓,True
Hairline Outline,Hairline Outline,发际线 轮廓,True
Hair Shine,Hair Shine,头发 高光,True
Hair Shine Outline,Hair Shine Outline,头发 高光 轮廓,True
Halo,Halo,光环,True
Halo Outline,Halo Outline,光环 轮廓,True
Hat,Hat,帽子,True
Hat Outline,Hat Outline,帽子 轮廓,True
Hat Secondary,Hat Secondary,帽子 次要,True
Hat Secondary Outline,Hat Secondary Outline,帽子 次要 轮廓,True
Hammer,Hammer,锤子,True
Ear Wing >>,Ear Wing >>,翅膀耳朵 >>,True
Ear Wing >> Outline,Ear Wing >> Outline,翅膀耳朵 >> 轮廓,True
Ear Wing <<,Ear Wing <<,翅膀耳朵 <<,True
Ear Wing << Outline,Ear Wing << Outline,翅膀耳朵 << 轮廓,True
Heart,Heart,爱心,True
Horn >>,Horn >>,角 >>,True
Horn >> Outline,Horn >> Outline,角 >> 轮廓,True
Horn <<,Horn <<,角 <<,True
Horn << Outline,Horn << Outline,角 <<轮廓,True
Horn ><,Horn ><,角 ><,True
Horn >< Outline,Horn >< Outline,角 >< 轮廓,True
Jail Grill,Jail Grill,监狱栅栏,True
Keyboard,Keyboard,键盘,True
Kitchen Knife,Kitchen Knife,厨房刀,True
Laptop,Laptop,电脑,True
Laptop Light,Laptop Light,电脑 屏幕光,True
Leg >>,Leg >>,腿 >>,True
Leg <<,Leg <<,腿 <<,True
Lightstick Handle,Lightstick Handle,荧光棒 把手,True
Light Stick >>,Light Stick >>,荧光棒 >>,True
Light Stick <<,Light Stick <<,荧光棒 <<,True
Mecha,Mecha,机械,True
Mecha >>,Mecha >>,机械 >>,True
Mecha >> Outline,Mecha >> Outline,机械 >> 轮廓,True
Mecha Outline,Mecha Outline,机械 轮廓,True
Mecha <<,Mecha <<,机械 <<,True
Mecha << Outline,Mecha << Outline,机械 << 轮廓,True
Mouse,Mouse,鼠标,True
Mouth/Tongue,Mouth/Tongue,嘴/舌头,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,嘴/舌头 阴影,True
Notepad,Notepad,记事本,True
Outfit Collar,Outfit Collar,服装 领子,True
Outfit Collar Outline,Outfit Collar Outline,服装 领子 轮廓,True
Outfit Inner,Outfit Inner,服装 里侧,True
Outfit Inner Outline,Outfit Inner Outline,服装 里侧 轮廓,True
Outfit Neckwear A,Outfit Neckwear A,服装 颈部装饰 A,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,服装 颈部装饰 A 轮廓,True
Outfit Neckwear B,Outfit Neckwear B,服装 颈部装饰 B,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,服装 颈部装饰 B 轮廓,True
Outfit Neckwear C,Outfit Neckwear C,服装 颈部装饰 C,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,服装 颈部装饰 C 轮廓,True
Outfit Outer,Outfit Outer,服装 外侧,True
Outfit Outer Outline,Outfit Outer Outline,服装 外侧 轮廓,True
Pencil,Pencil,铅笔,True
Phone,Phone,手机,True
Phone Light,Phone Light,手机 屏幕光,True
Hair Pigtail >>,Hair Pigtail >>,头发 马尾 >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,头发 马尾 >> 轮廓,True
Hair Pigtail <<,Hair Pigtail <<,头发 马尾 <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,头发 马尾 << 轮廓,True
Rose,Rose,玫瑰,True
Round Sign,Round Sign,圆形标牌,True
Round Sign Text,Round Sign Text,圆形标牌 文字,True
Hair Side,Hair Side,头发 侧面,True
Hair Side Outline,Hair Side Outline,头发 侧面 轮廓,True
Skin,Skin,肤色,True
Skin Outline,Skin Outline,肤色 轮廓,True
Square Sign,Square Sign,方形标牌,True
Square Sign Text,Square Sign Text,方形标牌 文字,True
Steering Wheel,Steering Wheel,方向盘,True
Gas Bottle,Gas Bottle,压缩气瓶,True
Pat Hand,Pat Hand,摸头手,True
Sticker Alert,Sticker Alert,表情贴纸 通知/提示,True
Sticker Alert Effect,Sticker Alert Effect,表情贴纸 通知/提示 特效,True
Sticker Alert Outline,Sticker Alert Outline,表情贴纸 通知/提示 轮廓,True
Sticker Angry,Sticker Angry,表情贴纸 生气,True
Sticker Exclamation Mark,Sticker Exclamation Mark,表情贴纸 感叹号,True
Sticker Ghost,Sticker Ghost,表情贴纸 幽灵,True
Sticker Heart,Sticker Heart,表情贴纸 爱心,True
Sticker Laugh,Sticker Laugh,表情贴纸 笑,True
Sticker Question Mark,Sticker Question Mark,表情贴纸 问号,True
Sticker Sleep,Sticker Sleep,表情贴纸 睡觉,True
Sticker Star,Sticker Star,表情贴纸 星星,True
Sticker Steam,Sticker Steam,表情贴纸 气,True
Sticker Surprise,Sticker Surprise,表情贴纸 惊吓,True
Sticker Sweat,Sticker Sweat,表情贴纸 汗,True
Sticker Sweat (Large),Sticker Sweat (Large),表情贴纸 汗（大）,True
Sticker Volume,Sticker Volume,表情贴纸 音量,True
Sticky Note,Sticky Note,表情贴纸 便签,True
Sticky Note Text,Sticky Note Text,表情贴纸 便签 文字,True
Eye Tear,Eye Tear,眼睛 眼泪,True
Utensil,Utensil,餐具,True
Outfit Collar String,Outfit Collar String,服装 领子 抽绳,True
Bell,Bell,铃铛,True
Confetti 1,Confetti 1,彩纸 1,True
Confetti 2,Confetti 2,彩纸 2,True
Confetti 3,Confetti 3,彩纸 3,True
Microphone,Microphone,麦克风,True
Gleam,Gleam,光晕,True
Video Camera,Video Camera,摄像机,True
Point Hand,Point Hand,指人手,True
Bowl,Bowl,碗,True
Cake,Cake,蛋糕,True
Candle Fire,Candle Fire,蜡烛 火焰,True
Drawing Tablet,Drawing Tablet,画板,True
Love Letter,Love Letter,情书,True
Popper,Popper,彩纸筒,True
Stylus,Stylus,手写笔,True
Tablet,Tablet,画板,True
Musical Note 1,Musical Note 1,音乐 音符 1,True
Musical Note 2,Musical Note 2,音乐 音符 2,True
Phone Screen,Phone Screen,手机 屏幕,True
Tail,Tail,尾巴,True
Tail Outline,Tail Outline,尾巴 轮廓,True
Wing >>,Wing >>,翅膀 >>,True
Wing >> Outline,Wing >> Outline,翅膀 >> 轮廓,True
Wing <<,Wing <<,翅膀 <<,True
Wing << Outline,Wing << Outline,翅膀 << 轮廓,True
