Key,en,de,reviewed
Laptop Light,Laptop Light,Laptop-Licht,False
Leg >>,Leg >>,Bein >>,True
Leg <<,Leg <<,Bein <<,True
Lightstick Handle,Lightstick Handle,Leuchtstabgriff,True
Light Stick >>,Light Stick >>,Leuchtstab >>,True
Light Stick <<,Light Stick <<,Leuchtstab <<,True
Mecha,Mecha,Mecha,True
Mecha >>,Mecha >>,Mecha >>,True
Mecha >> Outline,Mecha >> Outline,Mecha >> Umriss,True
Mecha Outline,Mecha Outline,Mecha-Umriss,True
Mecha <<,Mecha <<,Mecha <<,True
Mecha << Outline,Mecha << Outline,Mecha << Umriss,True
Mouse,Mouse,Maus,True
Mouth/Tongue,Mouth/Tongue,Mund/Zunge,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Mund-/Zungenschatten,True
Notepad,Notepad,Notizblock,True
Outfit Collar,Outfit Collar,Outfit-Kragen,True
Outfit Collar Outline,Outfit Collar Outline,Outfit-Kragen-Umriss,True
Outfit Inner,Outfit Inner,Outfit innen,True
Outfit Inner Outline,Outfit Inner Outline,Outfit innen Umriss,True
Outfit Neckwear A,Outfit Neckwear A,Outfit Krawatte A,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Outfit Krawatte A Umriss,True
Outfit Neckwear B,Outfit Neckwear B,Outfit Krawatte B,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Outfit Krawatte B Umriss,True
Outfit Neckwear C,Outfit Neckwear C,Outfit Krawatte C,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Outfit Krawatte C Umriss,True
Outfit Outer,Outfit Outer,Äußeres Outfit,True
Outfit Outer Outline,Outfit Outer Outline,Outfit außen Umriss,True
Pencil,Pencil,Bleistift,True
Phone,Phone,Telefon,True
Phone Light,Phone Light,Telefonlicht,False
Hair Pigtail >>,Hair Pigtail >>,Haarzopf >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Haarzopf >> Umriss,True
Hair Pigtail <<,Hair Pigtail <<,Haarzopf <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,Haarzopf << Umriss,True
Rose,Rose,Rose,True
Round Sign,Round Sign,Rundes Schild,True
Round Sign Text,Round Sign Text,Rundes Schild Text,True
Hair Side,Hair Side,Haarseite,True
Hair Side Outline,Hair Side Outline,Haarseite Umriss,True
Skin,Skin,Haut,True
Skin Outline,Skin Outline,Hautumriss,True
Square Sign,Square Sign,Quadratisches Schild,True
Square Sign Text,Square Sign Text,Quadratisches Schild Text,True
Steering Wheel,Steering Wheel,Lenkrad,True
Gas Bottle,Gas Bottle,Gasflasche,True
Pat Hand,Pat Hand,Streichelhand,True
Sticker Alert,Sticker Alert,Aufkleber-Alert,True
Sticker Alert Effect,Sticker Alert Effect,Aufkleber-Alert Effekt,True
Sticker Alert Outline,Sticker Alert Outline,Aufkleber-Alert Umriss,True
Sticker Angry,Sticker Angry,Aufkleber Wütend,True
Sticker Exclamation Mark,Sticker Exclamation Mark,Aufkleber Ausrufezeichen,True
Sticker Ghost,Sticker Ghost,Aufkleber Geist,True
Sticker Heart,Sticker Heart,Aufkleber Herz,True
Sticker Laugh,Sticker Laugh,Aufkleber Lachen,True
Sticker Question Mark,Sticker Question Mark,Aufkleber Fragezeichen,True
Sticker Sleep,Sticker Sleep,Aufkleber Schlaf,True
Sticker Star,Sticker Star,Aufkleber Stern,True
Sticker Steam,Sticker Steam,Aufkleber Dampf,True
Sticker Surprise,Sticker Surprise,Aufkleber Überraschung,True
Sticker Sweat,Sticker Sweat,Aufkleber Schweiß,True
Sticker Sweat (Large),Sticker Sweat (Large),Aufkleber Schweiß (Groß),True
Sticker Volume,Sticker Volume,Aufkleber Lautstärke,True
Sticky Note,Sticky Note,Haftnotiz,True
Sticky Note Text,Sticky Note Text,Haftnotiz Text,True
Eye Tear,Eye Tear,Augentränen,True
Utensil,Utensil,Utensil,True
Outfit Collar String,Outfit Collar String,Outfit-Kragenschnur,True
