Key,en,th,reviewed
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,ความเร็ว Rotation,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Model Scale,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Offset แนวนอน,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Offset แนวตั้ง,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,รีเซ็ตการตั้งค่า Viewport,True
MainMenu.Settings.ExportSettings,Animation Export Settings,การตั้งค่า Animation Export,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,ตำแหน่งการบันทึก,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Export Presets,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder,True
MainMenu.Settings.ExportSettings.Width,Width,ความกว้าง,True
MainMenu.Settings.ExportSettings.Height,Height,ความสูง,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,จำกัดจำนวนเฟรมสูงสุด,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,จำนวนเฟรมสูงสุด,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Alpha Threshold,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,เปิดใช้งาน Dithering,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,รีเซ็ตการตั้งค่า Export,True
MainMenu.Editor.Export,Export Emote,Export Emote,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,ลิขสิทธิ์ได้รับจากผู้สร้างโมเดล แสดงไว้เพื่อเป็นข้อมูลอ้างอิงเท่านั้น และไม่ได้แสดงถึงความคิดเห็นหรือจุดยืนทางกฎหมายของผู้พัฒนา EmoteLab,True
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,ไม่พบใบอนุญาตการใช่งาน โปรดยืนยันการใช้งานที่ได้รับอนุญาตกับผู้สร้าง,True
LicensePopup.Close,Close,ปิด,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,เปิดโฟลเดอร์ Export,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,โหลดตัวละครตัวอย่าง,True
MainMenu.Settings.ModelSettings,Model Settings,การตั้งค่าโมเดล,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,กำลังบันทึกข้อมูลตัวละคร...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,กำลังโหลดตัวละคร...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,ใบอนุญาติของบุคคลที่สาม,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),ข้อตกลงใบอนุญาตผู้ใช้ปลายทาง (EULA),True
MainMenu.Info.Documentation,Documentation,เอกสารประกอบ (Documentation),True
MainMenu.Info.Discord,Join Our Discord,เข้าร่วม Discord ของเรา,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",การตั้งค่าของ Preset จะกำหนดรูปแบบและขนาดที่ถูกต้อง แอนิเมชันที่มีความยาวมากอาจเกินขีดจำกัดขนาดไฟล์ของแพลตฟอร์ม และบางแพลตฟอร์มอาจจำกัดเนื้อหาบางประเภท,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,เปิดโฟลเดอร์โมเดลในเครื่อง,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,เปิดโฟลเดอร์ตัวละคร,True
MainMenu.Info.Log,Open Log Folder,เปิดโฟลเดอร์ Log,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,การใช้ตารางสีสากล,True
MainMenu.Editor.ExportStatic,Export Static Image,Export ภาพนิ่ง,True
MainMenu.Editor.Player.Speed,Speed,ความเร็ว,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,การตั้งค่าภาพนิ่ง,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,รีเซ็ตการตั้งค่าภาพนิ่ง,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Sampling Rate,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Toggle นี้ช่วยให้คุณสลับระหว่าง Internal Texture และ Custom Texture ได้,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,แก้ไขไฟล์ PNG ในโฟลเดอร์ Custom Texture และบันทึกโดยตั้งค่าความโปร่งใสไว้ โดยไม่แก้ไขขนาดของ PNG,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",หลังจากบันทึกการแก้ไขแล้ว ให้คลิกปุ่มนี้เพื่อปรับเปลี่ยนโมเดลของคุณตามความเปลี่ยนแปลง,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,บันทึกตัวละครของคุณ โดยปุ่มบันทึกจะอยู่ด้านล่างรายชื่อตัวละครทางด้านซ้ายของหน้าจอ,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,โปรดอ่านคู่มือการใช้งาน Custom Texture ก่อนใช้งาน feature นี้,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Custom Texture,True
MainMenu.Editor.Texture.Step1,Step 1,ขั้นตอนที่ 1,True
MainMenu.Editor.Texture.Step2,Step 2,ขั้นตอนที่ 2,True
MainMenu.Editor.Texture.Step3,Step 3,ขั้นตอนที่ 3,True
MainMenu.Editor.Texture.Step4,Step 4,ขั้นตอนที่ 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,แก้ไขเส้นร่างที่เลือก,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,รีเซ็ต Atlas ที่เลือก,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Texture Utility,True
MainMenu.Editor.Texture.SelectAll,Select All,เลือกทั้งหมด,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,การเลือก Toggle,True
MainMenu.Editor.Texture.AtlasList,Atlas List,รายการ Atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,การดำเนินการนี้จะรีเซ็ตหน้า Atlas ที่เลือกกลับไปเป็นเวอร์ชันเริ่มต้น การแก้ไขที่ยังไม่ได้บันทึกจะสูญหายและไม่สามารถกู้คืนได้ ต้องการดำเนินการต่อหรือไม่?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palette Algorithm,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,การดำเนินการนี้จะเขียนทับไฟล์ Texture ที่เลือกไว้ โดยไม่สามารถย้อนกลับมาแก้ไขได้ ต้องการดำเนินการต่อหรือไม่?,True
