Key,en,hu,reviewed
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Ezzel a kapcsolóval válthat a belső és az egyéni textúra között,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,"Szerkessze a PNG-ket az Egyéni textúra mappában. Mentse átlátszósággal, és ne módosítsa a képméretet",False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","A módosítások mentése után kattintson erre a gombra, hogy alkalmazza a módosításokat a modellen.",False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Mentsd meg a karaktered. A mentés gomb a karakterlista alatt található a felület bal oldalán.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,"Kérjük, olvassa el az Egyéni textúrák használata kézikönyvet a funkció használata előtt.",False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Egyedi textúra,False
MainMenu.Editor.Texture.Step1,Step 1,1. lépés,False
MainMenu.Editor.Texture.Step2,Step 2,2. lépés,False
MainMenu.Editor.Texture.Step3,Step 3,3. lépés,False
MainMenu.Editor.Texture.Step4,Step 4,4. lépés,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Javítsa ki a kiválasztott körvonalat,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Állítsa vissza a kiválasztott atlaszt,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Texture Utility,False
MainMenu.Editor.Texture.SelectAll,Select All,Válassza az Összes lehetőséget,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Kiválasztás váltása,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlasz lista,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,"Ezzel visszaállítja a kiválasztott atlaszoldalakat a beépített verziókra. A nem mentett szerkesztések elvesznek, és nem állíthatók vissza. Folytatja?",False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Paletta algoritmus,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,"Ez felülírja a kiválasztott textúrafájlokat, és nem vonható vissza. Folytatja?",False
