Key,en,ja,reviewed
MainMenu.Editor.Export,Export Emote,エモートを書き出し,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position.,ライセンスはモデル制作者が提供したものです。参考情報として表示されており、EmoteLab開発者の見解や法的立場を示すものではありません。,True
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,ライセンスが見つかりません。使用許可は制作者に確認してください。,True
LicensePopup.Close,Close,閉じる,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,書き出しフォルダーを開く,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,組み込みモデルのサンプルキャラクターを読み込む,True
MainMenu.Settings.ModelSettings,Model Settings,モデル設定,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,キャラクターデータを保存中…,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,キャラクターを読み込み中…,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,サードパーティライセンス,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),エンドユーザー使用許諾契約（EULA）,True
MainMenu.Info.Documentation,Documentation,ドキュメント,True
MainMenu.Info.Discord,Join Our Discord,Discordに参加,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",このプリセットは適切な形式とサイズを設定します。非常に長いアニメーションはプラットフォームのファイルサイズ制限を超える場合があります。また、一部のプラットフォームでは特定のコンテンツが制限される場合があります。,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,ローカルモデルフォルダーを開く,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,キャラクターフォルダーを開く,True
MainMenu.Info.Log,Open Log Folder,ログフォルダーを開く,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,グローバルカラーテーブルを使用,True
MainMenu.Editor.ExportStatic,Export Static Image,静止画像を書き出し,True
MainMenu.Editor.Player.Speed,Speed,速度,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,静止画設定,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,静止画設定をリセット,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,サンプリングレート,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,この操作で初期テクスチャとカスタムテクスチャを切り替えられます,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Custom Textureフォルダー内のPNGを編集してください。透過状態で保存し、画像サイズは変更しないでください,True
MainMenu.Editor.Texture.Step3Instr,After saving your edits, click this button to apply the chages to your model.,編集を保存した後、このボタンを押すとモデルに変更が適用されます,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,キャラクターを保存してください。保存ボタンは画面左側のキャラクターリストの下にあります,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,この機能を使用する前に「カスタムテクスチャの使用」マニュアルを確認してください,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,カスタムテクスチャ,True
MainMenu.Editor.Texture.Step1,Step 1,ステップ1,True
MainMenu.Editor.Texture.Step2,Step 2,ステップ2,True
MainMenu.Editor.Texture.Step3,Step 3,ステップ3,True
MainMenu.Editor.Texture.Step4,Step 4,ステップ4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,選択した輪郭を修正,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,選択したアトラスをリセット,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,テクスチャツール,True
MainMenu.Editor.Texture.SelectAll,Select All,すべて選択,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,選択を切り替え,True
MainMenu.Editor.Texture.AtlasList,Atlas List,アトラス一覧,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,選択したアトラスページを初期状態にリセットします。未保存の編集は失われ、復元できません。続行しますか？,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,パレットアルゴリズム,True
